iter	Passed	Remaining
459	4530	5318
460	4538	5306
461	4546	5294
462	4553	5281
463	4561	5268
464	4570	5258
465	4578	5246
466	4586	5234
467	4592	5220
468	4600	5208
469	4608	5197
470	4616	5184
471	4623	5172
472	4630	5159
473	4639	5148
474	4648	5137
475	4655	5125
476	4662	5112
477	4670	5100
478	4679	5089
479	4686	5076
480	4694	5065
481	4701	5052
482	4710	5042
483	4718	5030
484	4726	5018
485	4735	5007
486	4743	4996
487	4751	4985
488	4760	4974
489	4768	4962
490	4776	4951
491	4784	4940
492	4791	4927
493	4799	4916
494	4807	4904
495	4816	4894
496	4825	4883
497	4833	4872
498	4841	4860
499	4848	4848
500	4856	4837
501	4864	4825
502	4872	4814
503	4880	4803
504	4888	4792
505	4897	4780
506	4906	4770
507	4914	4759
508	4922	4748
509	4929	4736
510	4936	4724
511	4944	4713
512	4952	4701
513	4960	4689
514	4968	4678
515	4975	4666
516	4983	4656
517	4991	4644
518	4998	4632
519	5005	4620
520	5012	4608
521	5021	4598
522	5029	4587
523	5037	4575
524	5045	4565
525	5053	4553
526	5061	4543
527	5069	4531
528	5077	4520
529	5086	4510
530	5093	4499
531	5102	4488
532	5108	4476
533	5116	4465
534	5124	4454
535	5132	4443
536	5140	4432
537	5148	4421
538	5156	4410
539	5164	4399
540	5171	4387
541	5178	4376
542	5185	4364
543	5194	4353
544	5202	4343
545	5210	4332
546	5218	4321
547	5226	4311
548	5235	4300
549	5241	4288
550	5250	4278
551	5258	4267
552	5267	4257
553	5275	4246
554	5282	4235
555	5290	4225
556	5297	4213
557	5305	4202
558	5313	4191
559	5320	4180
560	5327	4169
561	5336	4158
562	5344	4148
563	5352	4137
564	5359	4126
565	5367	4115
566	5375	4105
567	5384	4095
568	5392	4084
569	5400	4073
570	5407	4062
571	5416	4052
572	5423	4041
573	5431	4030
574	5438	4020
575	5448	4010
576	5456	4000
577	5464	3989
578	5471	3978
579	5478	3967
580	5486	3956
581	5494	3946
582	5502	3935
583	5509	3924
584	5517	3913
585	5525	3903
586	5533	3893
587	5541	3882
588	5549	3872
589	5556	3861
590	5564	3850
591	5572	3840
592	5579	3829
593	5588	3819
594	5596	3809
595	5604	3799
596	5614	3789
597	5624	3780
598	5631	3770
599	5639	3759
600	5646	3748
601	5654	3738
602	5663	3728
603	5670	3717
604	5678	3707
605	5685	3696
606	5693	3686
607	5700	3675
608	5709	3665
609	5717	3655
610	5725	3644
611	5732	3634
612	5739	3623
613	5747	3613
614	5755	3603
615	5762	3592
616	5770	3581
617	5780	3572
618	5787	3562
619	5794	3551
620	5801	3540
621	5809	3530
622	5817	3520
623	5824	3509
624	5832	3499
625	5839	3488
626	5847	3478
627	5855	3468
628	5862	3458
629	5871	3448
630	5879	3438
631	5886	3427
632	5894	3417
633	5902	3407
634	5909	3396
635	5918	3387
636	5926	3377
637	5934	3367
638	5941	3356
639	5950	3346
640	5956	3336
641	5964	3325
642	5972	3316
643	5980	3306
644	5989	3296
645	5997	3286
646	6005	3276
647	6014	3266
648	6022	3256
649	6029	3246
650	6038	3237
651	6046	3227
652	6053	3216
653	6059	3206
654	6068	3196
655	6077	3186
656	6085	3177
657	6092	3166
658	6101	3156
659	6109	3147
660	6118	3138
661	6126	3128
662	6135	3118
663	6143	3108
664	6151	3098
665	6160	3089
666	6168	3079
667	6177	3070
668	6186	3060
669	6194	3051
670	6203	3041
671	6211	3031
672	6218	3021
673	6226	3011
674	6234	3001
675	6240	2991
676	6249	2981
677	6257	2971
678	6265	2962
679	6273	2952
680	6280	2941
681	6288	2932
682	6297	2922
683	6305	2912
684	6312	2902
685	6320	2893
686	6329	2883
687	6337	2874
688	6345	2864
689	6353	2854
690	6362	2845
691	6369	2835
692	6378	2825
693	6385	2815
694	6392	2805
695	6400	2795
696	6407	2785
697	6414	2775
698	6421	2765
699	6429	2755
700	6437	2745
701	6445	2736
702	6453	2726
703	6460	2716
704	6467	2706
705	6476	2697
706	6483	2687
707	6491	2677
708	6499	2667
709	6507	2657
710	6514	2648
711	6522	2638
712	6530	2628
713	6537	2618
714	6544	2608
715	6553	2599
716	6560	2589
717	6568	2579
718	6575	2569
719	6584	2560
720	6593	2551
721	6601	2541
722	6609	2532
723	6617	2522
724	6626	2513
725	6634	2503
726	6642	2494
727	6651	2485
728	6659	2475
729	6666	2465
730	6674	2455
731	6681	2446
732	6689	2436
733	6697	2427
734	6705	2417
735	6713	2408
736	6721	2398
737	6730	2389
738	6739	2380
739	6747	2370
740	6753	2360
741	6762	2351
742	6770	2341
743	6778	2332
744	6786	2323
745	6795	2313
746	6803	2304
747	6811	2294
748	6817	2284
749	6825	2275
750	6833	2265
751	6841	2256
752	6849	2246
753	6856	2237
754	6865	2227
755	6872	2218
756	6879	2208
757	6887	2198
758	6894	2189
759	6902	2179
760	6909	2170
761	6917	2160
762	6925	2151
763	6934	2141
764	6941	2132
765	6948	2122
766	6955	2113
767	6964	2103
768	6972	2094
769	6980	2085
770	6988	2075
771	6995	2066
772	7004	2056
773	7012	2047
774	7021	2038
775	7030	2029
776	7036	2019
777	7044	2010
778	7053	2000
779	7061	1991
780	7068	1982
781	7076	1972
782	7084	1963
783	7092	1954
784	7100	1944
785	7109	1935
786	7117	1926
787	7124	1916
788	7133	1907
789	7141	1898
790	7147	1888
791	7155	1879
792	7163	1870
793	7172	1860
794	7181	1851
795	7189	1842
796	7198	1833
797	7205	1823
798	7212	1814
799	7219	1804
800	7228	1795
801	7236	1786
802	7244	1777
803	7252	1767
804	7259	1758
805	7269	1749
806	7278	1740
807	7285	1731
808	7293	1722
809	7302	1712
810	7308	1703
811	7317	1694
812	7324	1684
813	7331	1675
814	7338	1665
815	7346	1656
816	7354	1647
817	7361	1637
818	7369	1628
819	7377	1619
820	7385	1610
821	7393	1600
822	7400	1591
823	7408	1582
824	7415	1573
825	7423	1563
826	7431	1554
827	7439	1545
828	7447	1536
829	7456	1527
830	7463	1517
831	7470	1508
832	7478	1499
833	7485	1489
834	7493	1480
835	7500	1471
836	7507	1462
837	7516	1453
838	7523	1443
839	7531	1434
840	7539	1425
841	7547	1416
842	7555	1407
843	7562	1397
844	7569	1388
845	7578	1379
846	7587	1370
847	7595	1361
848	7604	1352
849	7611	1343
850	7619	1334
851	7627	1325
852	7636	1315
853	7645	1307
854	7653	1297
855	7661	1288
856	7668	1279
857	7676	1270
858	7683	1261
859	7691	1252
860	7698	1242
861	7706	1233
862	7713	1224
863	7721	1215
864	7727	1206
865	7736	1197
866	7744	1187
867	7751	1178
868	7760	1169
869	7767	1160
870	7775	1151
871	7784	1142
872	7793	1133
873	7801	1124
874	7809	1115
875	7818	1106
876	7825	1097
877	7833	1088
878	7841	1079
879	7849	1070
880	7856	1061
881	7864	1052
882	7873	1043
883	7881	1034
884	7888	1025
885	7895	1015
886	7903	1006
887	7911	997
888	7920	988
889	7928	979
890	7935	970
891	7943	961
892	7949	952
893	7958	943
894	7967	934
895	7975	925
896	7983	916
897	7991	907
898	8000	898
899	8008	889
900	8017	880
901	8025	871
902	8033	862
903	8041	853
904	8049	845
905	8056	835
906	8063	826
907	8070	817
908	8077	808
909	8086	799
910	8094	790
911	8102	781
912	8110	772
913	8117	763
914	8126	754
915	8133	745
916	8142	736
917	8149	727
918	8158	719
919	8165	710
920	8173	701
921	8181	692
922	8188	683
923	8196	674
924	8204	665
925	8211	656
926	8219	647
927	8227	638
928	8235	629
929	8244	620
930	8251	611
931	8259	602
932	8267	593
933	8275	584
934	8283	575
935	8291	566
936	8298	557
937	8306	549
938	8313	540
939	8321	531
940	8329	522
941	8337	513
942	8346	504
943	8354	495
944	8363	486
945	8371	477
946	8378	468
947	8385	459
948	8394	451
949	8401	442
950	8410	433
951	8418	424
952	8426	415
953	8433	406
954	8441	397
955	8449	388
956	8457	380
957	8465	371
958	8474	362
959	8480	353
960	8488	344
961	8496	335
962	8504	326
963	8512	317
964	8519	308
965	8527	300
966	8534	291
967	8542	282
968	8550	273
969	8559	264
970	8568	255
971	8576	247
972	8584	238
973	8591	229
974	8599	220
975	8606	211
976	8613	202
977	8621	193
978	8628	185
979	8637	176
980	8645	167
981	8653	158
982	8661	149
983	8670	140
984	8677	132
985	8685	123
986	8692	114
987	8700	105
988	8708	96
989	8714	88
990	8723	79
991	8731	70
992	8739	61
993	8745	52
994	8752	43
995	8760	35
996	8768	26
997	8776	17
998	8785	8
999	8793	0
1	10882	87
992	10895	76
993	10906	65
994	10914	54
995	10925	43
996	10937	32
997	10949	21
998	10960	10
999	10971	0
